OrderID,CustomerID,CustomerName,Age,Country,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PurchaseDate
1001,C611,Aaron Campbell,-9.0,Chile,Smartphone,Galaxy A52,5,1556.44,7782.200000000001,2025-07-27
1002,C201,Ryan Martinez,63.0,chile,Smartphone,Galaxy A52,2,,,2025-07-18
1003,C129,Richard Ball,54.0,Chile,Laptop,HP Envy,2,526.04,1052.08,2025-07-24
1004,C1483,Stephen Carlson,48.0,chile,Smartphone,Galaxy S21,1,232.22,232.22,2025-08-31
1005,C243,Jason Hernandez,31.0,Chile,Smartphone,Moto G100,1,1820.33,1820.33,2025-06-24
1006,C1475,Dylan Johnson,26.0,Perú,Tablet,iPad Mini,5,1074.54,5372.7,2025-07-05
1007,C124,David Castro,41.0,Perú,Tablet,Galaxy Tab S7,5,861.29,4306.45,2025-08-19
1008,C957,Carrie Villanueva,55.0,Argentina,Tablet,Surface Go,5,1316.41,6582.05,2025-08-18
1009,C224,Veronica Browning,53.0,Chile,Accesorio,Mouse Microsoft,5,766.57,3832.8500000000004,2025-07-13
1010,C582,Catherine Hunter,29.0,Perú,Tablet,iPad Mini,5,1091.08,5455.4,2025-07-26
1011,C843,Nichole Bauer,45.0,Argentina,Smartphone,Galaxy A52,2,1887.34,3774.68,2025-07-23
1012,C233,Elizabeth Jones,30.0,chile,Laptop,HP Envy,2,716.51,1433.02,2025-08-15
1013,C368,Tim Johnson,60.0,Argentina,Accesorio,Teclado Logitech,5,1270.61,6353.049999999999,2025-08-22
1014,C031,Michael Kim,39.0,Chile,Smartphone,Galaxy A52,2,1166.03,2332.06,2025-06-21
1015,C715,Christopher Perry,68.0,chile,Laptop,MacBook Air,2,1684.69,3369.38,2025-08-07
1016,C621,Connie Gomez,35.0,Perú,Accesorio,Teclado Logitech,3,467.48,1402.44,2025-08-12
1017,C293,Kimberly Williams,,Chile,Accesorio,Auriculares Sony,1,782.51,782.51,2025-07-24
1018,C014,Matthew Walker,66.0,Argentina,Tablet,Surface Go,2,580.34,1160.68,2025-08-20
1019,C526,Jose Williamson,69.0,Chile,Accesorio,Teclado Logitech,1,1803.76,1803.76,2025-06-27
1020,C837,Olivia Schwartz,33.0,chile,Accesorio,Auriculares Sony,4,135.85,543.4,2025-07-14
1021,C370,Teresa Guzman,63.0,chile,Laptop,Lenovo ThinkPad,5,270.24,1351.2,2025-08-18
1022,C1003,Alex Weiss,43.0,chile,Smartphone,Galaxy S21,4,1189.92,4759.68,2025-08-30
1023,C050,Amy Stewart,42.0,chile,Accesorio,AirPods Pro,4,1750.61,7002.44,2025-07-19
1024,C773,Adam Fisher,56.0,Argentina,Smartphone,Moto G100,4,181.94,727.76,2025-07-15
1025,C1465,Stephanie Walters,54.0,Perú,Laptop,HP Envy,1,1271.43,1271.43,2025-08-04
1026,C1237,Natalie Walker,37.0,Chile,Laptop,Dell XPS 13,2,607.37,1214.74,2025-07-29
1027,C1500,Daniel Hansen,23.0,Argentina,Laptop,MacBook Air,2,1678.15,3356.3,2025-09-07
1028,C1221,Nicholas Dunlap,20.0,Perú,Laptop,Lenovo ThinkPad,2,631.88,1263.76,2025-08-22
1029,C1401,Alex Scott,51.0,chile,Accesorio,AirPods Pro,4,1236.17,4944.68,2025-08-06
1030,C788,Victoria Stein,32.0,Argentina,Accesorio,Mouse Microsoft,2,82.92,165.84,2025-06-19
1031,C1190,Larry Perez,29.0,Perú,Tablet,Galaxy Tab S7,2,1178.07,2356.14,2025-07-10
1032,C1148,Edward Vasquez,45.0,Perú,Laptop,MacBook Air,2,542.84,1085.68,2025-06-15
1033,C946,Mary White,67.0,chile,Tablet,Surface Go,3,1593.96,4781.88,2025-06-29
1034,C1281,Jacob Rodriguez,43.0,Perú,Accesorio,Auriculares Sony,2,952.59,1905.18,2025-06-21
1035,C730,Elizabeth Cline,-8.0,Perú,Laptop,Lenovo ThinkPad,2,1421.5,2843.0,2025-08-04
1036,C665,Julie Miller,63.0,Chile,Laptop,Dell XPS 13,3,615.56,1846.6799999999998,2025-08-14
1037,C708,Jonathan Rodriguez,48.0,chile,Laptop,MacBook Air,4,1374.59,5498.36,2025-07-03
1038,C1015,Mary Copeland,51.0,Argentina,Laptop,MacBook Air,4,1211.8,4847.2,2025-09-08
1039,C1179,Timothy Stanton,21.0,chile,Tablet,iPad Mini,4,908.85,3635.4,2025-06-17
1040,C062,Steven Collins,40.0,chile,Laptop,Dell XPS 13,4,1527.32,6109.28,2025-07-16
1041,C382,Ryan Baker,37.0,chile,Tablet,iPad Mini,5,1575.82,7879.099999999999,2025-09-06
1042,C512,Jeffrey Kelly,30.0,chile,Tablet,Galaxy Tab S7,4,1256.07,5024.28,2025-07-09
1043,C978,Dwayne Nicholson,31.0,chile,Accesorio,Mouse Microsoft,4,397.24,1588.96,2025-09-10
1044,C798,Christopher Lee,30.0,Chile,Tablet,Lenovo Tab M10,5,243.6,1218.0,2025-08-16
1045,C1404,Trevor Nichols,18.0,Perú,Accesorio,Mouse Microsoft,5,1267.0,6335.0,2025-08-13
1046,C983,George Zavala,50.0,chile,Smartphone,iPhone 14,1,1338.87,1338.87,2025-08-24
1047,C1494,Terry Combs,47.0,chile,Smartphone,iPhone 14,4,873.87,3495.48,2025-07-01
1048,C180,Connor Choi,35.0,Perú,Tablet,Surface Go,1,1198.21,1198.21,2025-09-05
1049,C343,Amber Morales,24.0,chile,Smartphone,Galaxy S21,2,974.08,1948.16,2025-08-11
1050,C1108,Mr. Lance Kaufman,38.0,Argentina,Tablet,Surface Go,2,1315.51,2631.02,2025-07-19
1051,C691,Ernest Wise,35.0,Argentina,Tablet,Lenovo Tab M10,3,673.39,2020.17,2025-08-31
1052,C524,Emily Franco,21.0,Argentina,Smartphone,Moto G100,1,1330.91,1330.91,2025-09-09
1053,C167,Danielle White,,Perú,Smartphone,iPhone 14,5,933.48,4667.4,2025-07-25
1054,C222,Kevin Barker,48.0,Chile,Accesorio,AirPods Pro,1,48.14,48.14,2025-07-27
1055,C878,Kelly Cole,45.0,Perú,Accesorio,Teclado Logitech,4,1142.97,4571.88,2025-08-05
1056,C052,Dr. Jamie Doyle,69.0,chile,Smartphone,Galaxy S21,4,,,2025-08-19
1057,C1422,Crystal Robinson,39.0,chile,Accesorio,AirPods Pro,3,456.51,1369.53,2025-07-03
1058,C1139,Jennifer Guzman,40.0,chile,Laptop,HP Envy,5,245.61,1228.0500000000002,2025-08-05
1059,C803,Nicole Brown,60.0,Chile,Tablet,Lenovo Tab M10,1,,,2025-08-06
1060,C282,Stephen Hogan,38.0,Argentina,Accesorio,Mouse Microsoft,1,241.64,241.64,2025-07-22
1061,C952,Brandon Morgan,65.0,Argentina,Tablet,Lenovo Tab M10,1,1982.17,1982.17,2025-08-12
1062,C1332,Philip Watson,44.0,Argentina,Tablet,Surface Go,1,1564.82,1564.82,2025-06-24
1063,C006,Russell Bright,59.0,Chile,Accesorio,AirPods Pro,3,125.84,377.52,2025-06-17
1064,C898,Tom Williamson,27.0,Argentina,Accesorio,Teclado Logitech,2,689.0,1378.0,2025-08-21
1065,C922,Dwayne Myers,40.0,Chile,Tablet,iPad Mini,4,1378.39,5513.56,2025-08-02
1066,C556,Katherine Gray,31.0,chile,Tablet,Lenovo Tab M10,1,1830.84,1830.84,2025-06-22
1067,C272,Nicholas Schneider,62.0,Argentina,Tablet,Galaxy Tab S7,2,1414.56,2829.12,2025-07-01
1068,C401,Lisa Yu,40.0,Argentina,Accesorio,AirPods Pro,3,57.76,173.28,2025-07-30
1069,C067,John Morales,56.0,chile,Accesorio,AirPods Pro,1,1254.04,1254.04,2025-06-21
1070,C227,Brianna Yang,62.0,Argentina,Smartphone,Galaxy A52,3,1765.45,5296.35,2025-08-13
1071,C016,Gilbert Mendoza,60.0,Perú,Smartphone,Moto G100,3,1129.83,3389.49,2025-09-09
1072,C207,Dalton Russo,44.0,Argentina,Tablet,Lenovo Tab M10,1,1589.14,1589.14,2025-07-23
1073,C458,James Gomez,,Perú,Accesorio,Teclado Logitech,2,1518.06,3036.12,2025-08-14
1074,C219,John Burnett,40.0,Argentina,Tablet,Galaxy Tab S7,3,1261.35,3784.0499999999997,2025-08-26
1075,C1345,David Moore,56.0,Perú,Laptop,MacBook Air,4,1434.33,5737.32,2025-07-28
1076,C443,Luis Brown,56.0,Argentina,Smartphone,Galaxy A52,1,1868.78,1868.78,2025-08-11
1077,C896,Dorothy Williams,29.0,Argentina,Accesorio,Teclado Logitech,2,280.09,560.18,2025-09-11
1078,C558,Joseph Walker,18.0,Chile,Tablet,iPad Mini,2,1651.2,3302.4,2025-06-21
1079,C1057,Mrs. Nicole Stone,42.0,chile,Accesorio,Teclado Logitech,4,504.53,2018.12,2025-08-22
1080,C422,Stephanie Davis,38.0,Argentina,Tablet,Surface Go,2,561.95,1123.9,2025-07-08
